Название;Код товара;Цена;Напряжение аккумулятора;Тип аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Размер зажимаемой оснастки (max);Емкость аккумулятора;Режимы работы;Тип питания;Тип патрона;Количество скоростей;Комплектация;Тип двигателя;Подсветка;Количество аккумуляторов в комплекте;Ленточные (магазинные);Реверс;Угловая;Режим удара;С фонарем;Производство;Импульсные;Набор оснастки;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Блокировка шпинделя;Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК (2х2.0 Ач) [575.2.2.70];171116;11190;18.0;Li-Ion ;45.0;13;36;1.6;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1700;есть ;400;1700;1.5
Аккумуляторный шуруповерт BOSCH GSR 120-LI [06019G8020] 2х2,0 Ач;108129;7990;12.0;Li-Ion ;30.0;10;20;0.98;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт ИНТЕРСКОЛ ДА-12ЭР-02 (1,5 А.ч.) [534.0.2.01];105322;5290;12.0;Li-Ion ;28.0;10;20;0.96;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт DeWALT DCD780С2 [DCD780C2-QW];70886;22448;18.0;Li-Ion ;70.0;13;38;1.55;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-12-2ЛК [75/14/2];152228;5790;12.0;Li-Ion ;40.0;10;20;0.96;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт BOSCH GSB 120 LI ударная [06019G8100];116251;8776;12.0;Li-Ion ;28.0;6;19;1.0;10;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/18В [709.1.2.70];218411;7699;18.0;Li-Ion ;42.0;11;32;0.82;;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;;;есть ;450;1500;
Аккумуляторная дрель-шуруповерт METABO BS 14.4 2х2,0 Ач, с набором оснастки [602206880];96500;19941;14.4;Li-Ion ;40.0;10;20;5.57;;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/14,4В МиниМАКС бесщеточная [708.2.2.70];213640;9190;14.4;Li-Ion ;38.0;;30;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1500;есть ;450;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 2,0 кейс [687.2.2.70];194392;5390;12.0;Li-Ion ;36.0;10;26;1.16;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;420;1500;есть ;420;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная (2х2.0 Ач) [574.2.2.70];171120;13490;18.0;Li-Ion ;60.0;13;36;1.7;13;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;есть ;нет ;Китай ;нет ;нет ;профессиональный ;450;2000;есть ;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWAE [DF488DWAE];196631;15490;18.0;Li-Ion ;42.0;13;36;1.433;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт MAKITA DF347DWE;105649;12490;14.4;Li-Ion ;30.0;10;25;1.4;10;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт MAKITA DDF453SYE;89192;16990;18.0;Li-Ion ;42.0;13;36;1.8;13;1.5;;;;;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт MAKITA DF 333 DWYE [DF333DWYE];134933;11990;12.0;Li-Ion ;30.0;10;21;1.1;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1700;есть ;450;1700;1.5
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-18-2ЛК [75/14/5];152224;7590;18.0;Li-Ion ;50.0;12;30;1.3;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Дрель-шуруповерт METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600080500] Зарядное устройство LC 40;85757;8209;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, в коробке [600984000];160855;8190;10.8;Li-Ion ;34.0;10;18;0.8;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;коробка ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWE [DF488DWE];196630;13990;18.0;Li-Ion ;42.0;13;36;1.433;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -18ЭР ( 2.0 А.ч. ) ПРОМО [436.2.2.20];173026;6690;18.0;Li-Ion ;35.0;10;25;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт BOSCH GSR 12V-30 бесщеточная [06019G9020];142613;12200;12.0;Li-Ion ;30.0;10;20;;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;;;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт DeWALT DCD 701 D2 бесщеточная [DCD701D2-QW];140256;20634;12.0;Li-Ion ;57.0;10;20;0.9;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DDF453RFE;88447;21990;18.0;Li-Ion ;42.0;13;36;1.8;13;3.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1300;есть ;400;1300;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600984500] Зарядное устройство LC 12;85757;8338;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК (2х2.0 Ач) [575.2.2.70];171116;11190;18.0;Li-Ion ;45.0;13;36;1.6;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1700;есть ;400;1700;1.5
Аккумуляторный шуруповерт BOSCH GSR 120-LI [06019G8020] 2х2,0 Ач;108129;7990;12.0;Li-Ion ;30.0;10;20;0.98;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт ИНТЕРСКОЛ ДА-12ЭР-02 (1,5 А.ч.) [534.0.2.01];105322;5290;12.0;Li-Ion ;28.0;10;20;0.96;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт DeWALT DCD780С2 [DCD780C2-QW];70886;22448;18.0;Li-Ion ;70.0;13;38;1.55;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-12-2ЛК [75/14/2];152228;5790;12.0;Li-Ion ;40.0;10;20;0.96;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт BOSCH GSB 120 LI ударная [06019G8100];116251;8776;12.0;Li-Ion ;28.0;6;19;1.0;10;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/18В [709.1.2.70];218411;7699;18.0;Li-Ion ;42.0;11;32;0.82;;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;;;есть ;450;1500;
Аккумуляторная дрель-шуруповерт METABO BS 14.4 2х2,0 Ач, с набором оснастки [602206880];96500;19941;14.4;Li-Ion ;40.0;10;20;5.57;;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/14,4В МиниМАКС бесщеточная [708.2.2.70];213640;9190;14.4;Li-Ion ;38.0;;30;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1500;есть ;450;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 2,0 кейс [687.2.2.70];194392;5390;12.0;Li-Ion ;36.0;10;26;1.16;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;420;1500;есть ;420;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная (2х2.0 Ач) [574.2.2.70];171120;13490;18.0;Li-Ion ;60.0;13;36;1.7;13;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;есть ;нет ;Китай ;нет ;нет ;профессиональный ;450;2000;есть ;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWAE [DF488DWAE];196631;15490;18.0;Li-Ion ;42.0;13;36;1.433;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт MAKITA DF347DWE;105649;12490;14.4;Li-Ion ;30.0;10;25;1.4;10;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт MAKITA DDF453SYE;89192;16990;18.0;Li-Ion ;42.0;13;36;1.8;13;1.5;;;;;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт MAKITA DF 333 DWYE [DF333DWYE];134933;11990;12.0;Li-Ion ;30.0;10;21;1.1;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1700;есть ;450;1700;1.5
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-18-2ЛК [75/14/5];152224;7590;18.0;Li-Ion ;50.0;12;30;1.3;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Дрель-шуруповерт METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600080500] Зарядное устройство LC 40;85757;8209;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, в коробке [600984000];160855;8190;10.8;Li-Ion ;34.0;10;18;0.8;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;коробка ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWE [DF488DWE];196630;13990;18.0;Li-Ion ;42.0;13;36;1.433;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -18ЭР ( 2.0 А.ч. ) ПРОМО [436.2.2.20];173026;6690;18.0;Li-Ion ;35.0;10;25;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторный шуруповерт BOSCH GSR 12V-30 бесщеточная [06019G9020];142613;12200;12.0;Li-Ion ;30.0;10;20;;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;;;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт DeWALT DCD 701 D2 бесщеточная [DCD701D2-QW];140256;20634;12.0;Li-Ion ;57.0;10;20;0.9;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DDF453RFE;88447;21990;18.0;Li-Ion ;42.0;13;36;1.8;13;3.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1300;есть ;400;1300;1.0
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS Basic 2х2,0 Ач, кейс [600984500] Зарядное устройство LC 12;85757;8338;12.0;Li-Ion ;34.0;10;18;0.8;10;2.0;;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;есть ;;нет ;;;;;;360;1400;есть ;360;1400;1.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК (2х2.0 Ач) [575.2.2.70];171116;11190;18.0;Li-Ion ;45.0;13;36;1.6;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1700;есть ;400;1700;1.5
Аккумуляторный шуруповерт BOSCH GSR 120-LI [06019G8020] 2х2,0 Ач;108129;7990;12.0;Li-Ion ;30.0;10;20;0.98;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Аккумуляторный шуруповерт ИНТЕРСКОЛ ДА-12ЭР-02 (1,5 А.ч.) [534.0.2.01];105322;5290;12.0;Li-Ion ;28.0;10;20;0.96;13;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт DeWALT DCD780С2 [DCD780C2-QW];70886;22448;18.0;Li-Ion ;70.0;13;38;1.55;13;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-12-2ЛК [75/14/2];152228;5790;12.0;Li-Ion ;40.0;10;20;0.96;10;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;бытовой ;400;1400;есть ;400;1400;0.8
Аккумуляторная дрель-шуруповерт BOSCH GSB 120 LI ударная [06019G8100];116251;8776;12.0;Li-Ion ;28.0;6;19;1.0;10;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;;;;;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/18В [709.1.2.70];218411;7699;18.0;Li-Ion ;42.0;11;32;0.82;;1.5;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;;;есть ;450;1500;
Аккумуляторная дрель-шуруповерт METABO BS 14.4 2х2,0 Ач, с набором оснастки [602206880];96500;19941;14.4;Li-Ion ;40.0;10;20;5.57;;2.0;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/14,4В МиниМАКС бесщеточная [708.2.2.70];213640;9190;14.4;Li-Ion ;38.0;;30;1.1;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;450;1500;есть ;450;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 2,0 кейс [687.2.2.70];194392;5390;12.0;Li-Ion ;36.0;10;26;1.16;10;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;420;1500;есть ;420;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная (2х2.0 Ач) [574.2.2.70];171120;13490;18.0;Li-Ion ;60.0;13;36;1.7;13;2.0;Сверление/сверление с ударом ;Аккумуляторный ;быстрозажимной ;2;кейс ;бесщеточный ;есть ;2;нет ;есть ;нет ;есть ;нет ;Китай ;нет ;нет ;профессиональный ;450;2000;есть ;;;
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWAE [DF488DWAE];196631;15490;18.0;Li-Ion ;42.0;13;36;1.433;13;2.0;Сверление/заворачивание ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;есть ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;1.3
Дрель-шуруповерт MAKITA DF347DWE;105649;12490;14.4;Li-Ion ;30.0;10;25;1.4;10;1.5;Сверление ;Аккумуляторный ;быстрозажимной ;2;кейс ;щеточный ;нет ;2;нет ;есть ;нет ;нет ;нет ;Китай ;нет ;нет ;профессиональный ;400;1400;есть ;400;1400;0.8
